2025-01-26 10:56:29:036 [main] INFO  c.e.a.ApiReservationsApplication - Starting ApiReservationsApplication using Java 17.0.13 with PID 39127 (/home/yeferson/JAVA/api-reservations/target/classes started by yeferson in /home/yeferson/JAVA/api-reservations)
2025-01-26 10:56:29:037 [main] INFO  c.e.a.ApiReservationsApplication - No active profile set, falling back to 1 default profile: "default"
2025-01-26 10:56:32:982 [main] INFO  c.e.a.ApiReservationsApplication - Started ApiReservationsApplication in 4.372 seconds (process running for 4.783)
2025-01-26 10:58:34:783 [main] INFO  c.e.a.ApiReservationsApplication - Starting ApiReservationsApplication using Java 17.0.13 with PID 40313 (/home/yeferson/JAVA/api-reservations/target/classes started by yeferson in /home/yeferson/JAVA/api-reservations)
2025-01-26 10:58:34:784 [main] INFO  c.e.a.ApiReservationsApplication - No active profile set, falling back to 1 default profile: "default"
2025-01-26 10:58:38:587 [main] INFO  c.e.a.ApiReservationsApplication - Started ApiReservationsApplication in 4.128 seconds (process running for 4.551)
2025-01-26 11:17:38:170 [main] INFO  c.e.a.ApiReservationsApplication - Starting ApiReservationsApplication using Java 17.0.13 with PID 45169 (/home/yeferson/JAVA/api-reservations/target/classes started by yeferson in /home/yeferson/JAVA/api-reservations)
2025-01-26 11:17:38:171 [main] INFO  c.e.a.ApiReservationsApplication - No active profile set, falling back to 1 default profile: "default"
2025-01-26 11:18:04:928 [main] INFO  c.e.a.ApiReservationsApplication - Starting ApiReservationsApplication using Java 17.0.13 with PID 45347 (/home/yeferson/JAVA/api-reservations/target/classes started by yeferson in /home/yeferson/JAVA/api-reservations)
2025-01-26 11:18:04:929 [main] INFO  c.e.a.ApiReservationsApplication - No active profile set, falling back to 1 default profile: "default"
2025-01-26 11:22:20:510 [main] INFO  c.e.a.ApiReservationsApplication - Starting ApiReservationsApplication using Java 17.0.13 with PID 47011 (/home/yeferson/JAVA/api-reservations/target/classes started by yeferson in /home/yeferson/JAVA/api-reservations)
2025-01-26 11:22:20:511 [main] INFO  c.e.a.ApiReservationsApplication - No active profile set, falling back to 1 default profile: "default"
2025-01-26 11:23:10:143 [main] INFO  c.e.a.ApiReservationsApplication - Starting ApiReservationsApplication using Java 17.0.13 with PID 47248 (/home/yeferson/JAVA/api-reservations/target/classes started by yeferson in /home/yeferson/JAVA/api-reservations)
2025-01-26 11:23:10:144 [main] INFO  c.e.a.ApiReservationsApplication - No active profile set, falling back to 1 default profile: "default"
2025-01-26 11:23:14:036 [main] INFO  c.e.a.ApiReservationsApplication - Started ApiReservationsApplication in 4.303 seconds (process running for 4.684)
2025-01-26 11:27:33:319 [main] INFO  c.e.a.ApiReservationsApplication - Starting ApiReservationsApplication using Java 17.0.13 with PID 48984 (/home/yeferson/JAVA/api-reservations/target/classes started by yeferson in /home/yeferson/JAVA/api-reservations)
2025-01-26 11:27:33:320 [main] INFO  c.e.a.ApiReservationsApplication - No active profile set, falling back to 1 default profile: "default"
2025-01-26 11:27:37:197 [main] INFO  c.e.a.ApiReservationsApplication - Started ApiReservationsApplication in 4.305 seconds (process running for 4.655)
2025-01-26 11:30:28:681 [main] INFO  c.e.a.ApiReservationsApplication - Starting ApiReservationsApplication using Java 17.0.13 with PID 50267 (/home/yeferson/JAVA/api-reservations/target/classes started by yeferson in /home/yeferson/JAVA/api-reservations)
2025-01-26 11:30:28:682 [main] INFO  c.e.a.ApiReservationsApplication - No active profile set, falling back to 1 default profile: "default"
2025-01-26 11:30:33:019 [main] INFO  c.e.a.ApiReservationsApplication - Started ApiReservationsApplication in 4.709 seconds (process running for 5.189)
2025-01-26 11:35:44:212 [main] INFO  c.e.a.ApiReservationsApplication - Starting ApiReservationsApplication using Java 17.0.13 with PID 52468 (/home/yeferson/JAVA/api-reservations/target/classes started by yeferson in /home/yeferson/JAVA/api-reservations)
2025-01-26 11:35:44:213 [main] INFO  c.e.a.ApiReservationsApplication - No active profile set, falling back to 1 default profile: "default"
2025-01-26 11:35:48:075 [main] INFO  c.e.a.ApiReservationsApplication - Started ApiReservationsApplication in 4.223 seconds (process running for 4.604)
2025-01-26 11:49:37:336 [main] INFO  c.e.a.ApiReservationsApplication - Starting ApiReservationsApplication using Java 17.0.13 with PID 57193 (/home/yeferson/JAVA/api-reservations/target/classes started by yeferson in /home/yeferson/JAVA/api-reservations)
2025-01-26 11:49:37:337 [main] INFO  c.e.a.ApiReservationsApplication - No active profile set, falling back to 1 default profile: "default"
2025-01-26 11:49:41:500 [main] INFO  c.e.a.ApiReservationsApplication - Started ApiReservationsApplication in 4.558 seconds (process running for 4.926)
2025-01-26 11:50:39:108 [main] INFO  c.e.a.ApiReservationsApplication - Starting ApiReservationsApplication using Java 17.0.13 with PID 57511 (/home/yeferson/JAVA/api-reservations/target/classes started by yeferson in /home/yeferson/JAVA/api-reservations)
2025-01-26 11:50:39:109 [main] INFO  c.e.a.ApiReservationsApplication - No active profile set, falling back to 1 default profile: "default"
2025-01-26 11:50:43:076 [main] INFO  c.e.a.ApiReservationsApplication - Started ApiReservationsApplication in 4.415 seconds (process running for 4.811)
2025-01-26 11:51:56:250 [main] INFO  c.e.a.ApiReservationsApplication - Starting ApiReservationsApplication using Java 17.0.13 with PID 57831 (/home/yeferson/JAVA/api-reservations/target/classes started by yeferson in /home/yeferson/JAVA/api-reservations)
2025-01-26 11:51:56:251 [main] INFO  c.e.a.ApiReservationsApplication - No active profile set, falling back to 1 default profile: "default"
2025-01-26 11:52:00:149 [main] INFO  c.e.a.ApiReservationsApplication - Started ApiReservationsApplication in 4.346 seconds (process running for 4.72)
2025-01-26 11:53:56:467 [main] INFO  c.e.a.ApiReservationsApplication - Starting ApiReservationsApplication using Java 17.0.13 with PID 59671 (/home/yeferson/JAVA/api-reservations/target/classes started by yeferson in /home/yeferson/JAVA/api-reservations)
2025-01-26 11:53:56:468 [main] INFO  c.e.a.ApiReservationsApplication - No active profile set, falling back to 1 default profile: "default"
2025-01-26 11:54:00:386 [main] INFO  c.e.a.ApiReservationsApplication - Started ApiReservationsApplication in 4.331 seconds (process running for 4.744)
2025-01-26 11:54:43:047 [http-nio-8080-exec-7] INFO  c.e.a.c.ReservationController - Getting all reservations
2025-01-26 11:55:27:583 [main] INFO  c.e.a.ApiReservationsApplication - Starting ApiReservationsApplication using Java 17.0.13 with PID 60660 (/home/yeferson/JAVA/api-reservations/target/classes started by yeferson in /home/yeferson/JAVA/api-reservations)
2025-01-26 11:55:27:585 [main] INFO  c.e.a.ApiReservationsApplication - No active profile set, falling back to 1 default profile: "default"
2025-01-26 11:55:31:551 [main] INFO  c.e.a.ApiReservationsApplication - Started ApiReservationsApplication in 4.404 seconds (process running for 4.8)
2025-01-26 11:56:20:898 [main] INFO  c.e.a.ApiReservationsApplication - Starting ApiReservationsApplication using Java 17.0.13 with PID 60969 (/home/yeferson/JAVA/api-reservations/target/classes started by yeferson in /home/yeferson/JAVA/api-reservations)
2025-01-26 11:56:20:899 [main] INFO  c.e.a.ApiReservationsApplication - No active profile set, falling back to 1 default profile: "default"
2025-01-26 11:56:25:002 [main] INFO  c.e.a.ApiReservationsApplication - Started ApiReservationsApplication in 4.505 seconds (process running for 4.903)
2025-01-26 12:00:02:231 [main] INFO  c.e.a.ApiReservationsApplication - Starting ApiReservationsApplication using Java 17.0.13 with PID 62200 (/home/yeferson/JAVA/api-reservations/target/classes started by yeferson in /home/yeferson/JAVA/api-reservations)
2025-01-26 12:00:02:232 [main] INFO  c.e.a.ApiReservationsApplication - No active profile set, falling back to 1 default profile: "default"
2025-01-26 12:00:06:033 [main] INFO  c.e.a.ApiReservationsApplication - Started ApiReservationsApplication in 4.142 seconds (process running for 4.499)
2025-01-26 12:00:54:703 [main] INFO  c.e.a.ApiReservationsApplication - Starting ApiReservationsApplication using Java 17.0.13 with PID 62634 (/home/yeferson/JAVA/api-reservations/target/classes started by yeferson in /home/yeferson/JAVA/api-reservations)
2025-01-26 12:00:54:704 [main] INFO  c.e.a.ApiReservationsApplication - No active profile set, falling back to 1 default profile: "default"
2025-01-26 12:00:58:496 [main] INFO  c.e.a.ApiReservationsApplication - Started ApiReservationsApplication in 4.18 seconds (process running for 4.561)
2025-01-26 14:08:13:214 [main] INFO  c.e.a.ApiReservationsApplication - Starting ApiReservationsApplication using Java 17.0.13 with PID 7339 (/home/yeferson/JAVA/api-reservations/target/classes started by yeferson in /home/yeferson/JAVA/api-reservations)
2025-01-26 14:08:13:215 [main] INFO  c.e.a.ApiReservationsApplication - No active profile set, falling back to 1 default profile: "default"
2025-01-26 14:08:18:041 [main] INFO  c.e.a.ApiReservationsApplication - Started ApiReservationsApplication in 5.378 seconds (process running for 5.82)
2025-01-26 14:09:09:608 [http-nio-8080-exec-8] INFO  c.e.a.c.ReservationController - Getting all reservations
2025-01-26 14:09:20:220 [http-nio-8080-exec-9] INFO  c.e.a.c.ReservationController - Creating a new reservation
2025-01-26 14:10:25:674 [http-nio-8080-exec-11] INFO  c.e.a.c.ReservationController - Updating reservation with id 1
2025-01-26 14:10:34:691 [http-nio-8080-exec-12] INFO  c.e.a.c.ReservationController - Getting all reservations
2025-01-26 14:11:03:928 [main] INFO  c.e.a.ApiReservationsApplication - Starting ApiReservationsApplication using Java 17.0.13 with PID 7873 (/home/yeferson/JAVA/api-reservations/target/classes started by yeferson in /home/yeferson/JAVA/api-reservations)
2025-01-26 14:11:03:929 [main] INFO  c.e.a.ApiReservationsApplication - No active profile set, falling back to 1 default profile: "default"
2025-01-26 14:11:08:048 [main] INFO  c.e.a.ApiReservationsApplication - Started ApiReservationsApplication in 4.549 seconds (process running for 4.961)
2025-01-26 14:19:42:212 [main] INFO  c.e.a.ApiReservationsApplicationTests - Starting ApiReservationsApplicationTests using Java 17.0.13 with PID 9247 (started by yeferson in /home/yeferson/JAVA/api-reservations)
2025-01-26 14:19:42:213 [main] INFO  c.e.a.ApiReservationsApplicationTests - No active profile set, falling back to 1 default profile: "default"
2025-01-26 14:19:46:671 [main] INFO  c.e.a.ApiReservationsApplicationTests - Started ApiReservationsApplicationTests in 4.75 seconds (process running for 5.495)
2025-01-26 14:20:34:747 [main] INFO  c.e.a.ApiReservationsApplicationTests - Starting ApiReservationsApplicationTests using Java 17.0.13 with PID 9450 (started by yeferson in /home/yeferson/JAVA/api-reservations)
2025-01-26 14:20:34:748 [main] INFO  c.e.a.ApiReservationsApplicationTests - No active profile set, falling back to 1 default profile: "default"
2025-01-26 14:20:39:367 [main] INFO  c.e.a.ApiReservationsApplicationTests - Started ApiReservationsApplicationTests in 4.898 seconds (process running for 5.65)
2025-01-26 14:21:16:836 [main] INFO  c.e.a.ApiReservationsApplication - Starting ApiReservationsApplication using Java 17.0.13 with PID 9791 (/home/yeferson/JAVA/api-reservations/target/classes started by yeferson in /home/yeferson/JAVA/api-reservations)
2025-01-26 14:21:16:837 [main] INFO  c.e.a.ApiReservationsApplication - No active profile set, falling back to 1 default profile: "default"
